property_id,property_name,total_tours,unique_agents_serving,primary_agent_percentage,primary_agent_id,agent_distribution_gini,is_single_agent_property,is_highly_concentrated
64943,The Patent at Jeffrey Park,20,11,0.2,c99885bc-c6ac-4c57-b977-db23a4ee8973,0.3181818181818182,False,False
64938,Tillmore at Quarry Trails,94,17,0.14893617021276595,cd0ff517-0bc3-475f-9e90-4128464db541,0.39924906132665827,False,False
151243,Trace Quarter,9,9,0.1111111111111111,976d1b6d-25a3-43b4-9a84-142c50f2eb04,0.0,False,False
64932,4th & 5th Apartments,114,24,0.17543859649122806,25ffdb26-bfbc-43cf-b400-0223decaa038,0.41008771929824567,False,False
84770,Grant Commons,26,12,0.2692307692307692,cd0ff517-0bc3-475f-9e90-4128464db541,0.3397435897435897,False,False
100490,1460 Grant,43,17,0.18604651162790697,fe3fff05-8c00-4519-866a-5a2c4aec8c96,0.39671682626538984,False,False
78139,South Bank at Quarry Trails,25,11,0.16,0c398d8d-c79b-4ca6-831b-2727b7b41600,0.2763636363636363,False,False
64936,Iron Works at Jeffrey Park,2,2,0.5,90976d80-bfac-456b-9b24-79b9c0170b72,0.0,False,False
64941,Midpoint East at GVX,15,11,0.2,2d4a3e78-6ef4-4b69-94a5-7245b6ab7cc3,0.21818181818181823,False,False
64942,Midpoint West at GVX,19,9,0.21052631578947367,0c398d8d-c79b-4ca6-831b-2727b7b41600,0.30409356725146197,False,False
64939,The Thomas at GVX,54,18,0.12962962962962962,28be1402-23e6-47a2-851b-24c30e4d1b3f,0.3004115226337448,False,False
64934,Foundry at Jeffrey Park,56,17,0.125,c99885bc-c6ac-4c57-b977-db23a4ee8973,0.3151260504201681,False,False
64937,Founders,78,20,0.14102564102564102,cd0ff517-0bc3-475f-9e90-4128464db541,0.3910256410256411,False,False
64940,8 on the Park at GVX,29,13,0.20689655172413793,90976d80-bfac-456b-9b24-79b9c0170b72,0.31830238726790444,False,False
64933,The Sage at Jeffrey Park,83,18,0.1686746987951807,c99885bc-c6ac-4c57-b977-db23a4ee8973,0.4531459170013387,False,False
64935,Legacy at Jeffrey Park,29,12,0.20689655172413793,fe3fff05-8c00-4519-866a-5a2c4aec8c96,0.3304597701149425,False,False
